user_country,user_age,user_gender,user_id,iteration_1_ndcg@10,iteration_1_average_pop,iteration_2_ndcg@10,iteration_2_average_pop,train_pop
SE,25,m,51,1.0,0.0024137028528222874,0.7007731679885374,0.0061898391834123365,0.0036930823830046955
AT,27,m,52,0.8854598815714874,0.004250152673975631,0.2381982098796055,0.0065620728763777,0.001021057699453605
US,26,m,53,0.5850757175300324,0.005154564224852415,0.6867151830982591,0.003694710210253875,0.0028388708862231936
ES,31,f,54,0.841492960259019,0.003291941722162445,0.9363792118010484,0.005257800913135778,0.002505079153829793
US,24,m,55,1.0,0.0019251461308052464,0.6366824387328317,0.009970337627591823,0.0023846220955593684
US,26,m,56,0.0,0.0031407217843952657,0.1632168470962776,0.0050469654229796145,0.0022417109455815944
VE,26,m,57,0.642186726668901,0.018991188530549336,0.7065836017263629,0.00856864512751912,0.002638874884526292
MX,35,m,58,1.0,0.0065620728763777,0.7967610662472993,0.005230174193736005,0.0025875375470754912
UK,38,f,59,,,,,
UK,25,m,60,0.1934264036172708,0.0032497746241312124,0.0,0.005933928519498648,0.0021823786473217947
FI,30,m,61,1.0,0.0027205048419460844,1.0,0.0015441882106610057,0.0011244559474995397
AR,27,m,62,0.6309297535714575,0.029048768429929917,0.6816587806335841,0.011742809782766744,0.033300375141768694
MK,32,m,63,,,,,
SE,27,m,64,0.7859162856301584,0.01083403611830052,0.7183424120903081,0.0032512286619943583,0.0028746097754734743
CR,31,m,65,0.642186726668901,0.004167272515776311,0.4440973278132557,0.005278157443219821,0.0016599531241692522
CA,24,f,66,0.6552438651310554,0.009931078605286883,0.6373866922380802,0.0024020705499171197,0.0022812238475134338
UK,27,m,67,0.2200917662980801,0.005214179777241399,0.5077181160122074,0.004718352865908628,0.0026405828987097167
DE,27,m,68,1.0,0.001266466978800128,0.6131471927654584,0.004215255765260127,0.00037804984441794864
PL,33,m,69,0.0,0.0066449530345770195,0.1671604549662022,0.0066449530345770195,0.004422352300911058
NL,33,m,70,0.5352543167750639,0.012203739785384011,0.627507133061656,0.004426091255416291,0.0023815283979782068
PL,25,m,71,0.0,0.0004027684880914299,0.0,0.0008229854305406112,0.00033442870852356995
US,39,m,72,0.0,0.013334981242911567,0.0,0.015478233053188706,0.0012521831950856942
CH,32,m,73,0.5943907508440193,0.0064253933172419815,0.6235744328990731,0.004840492046412888,0.003440530543796313
IT,31,m,74,0.7227265726449519,0.021900718294704392,0.6597369862291467,0.010237880594410678,0.003389937111171677
NO,28,m,75,0.7917267193679839,0.004766336115392444,0.9052116356304492,0.0057856166574577605,0.0013170177185648148
DE,61,m,76,0.61776383970197,0.0016430627853549306,0.5245526930551088,0.003982609707156774,0.0017390292843225638
FI,31,m,77,0.0,0.013524006165120539,0.3806727902260371,0.010522872015587286,0.004591124552883357
NO,29,m,78,0.2866919347890071,0.0053188705033879085,0.7257345305446319,0.0035958356355599496,0.0025455830701999315
US,25,m,79,0.5531464700081437,0.011091400820077355,0.5745176001095237,0.011139384069561171,0.0025201897433879765
RU,24,m,80,1.0,0.0030214906796172973,0.3065735963827292,0.008272021403437345,0.003518771628813214
LV,22,m,81,1.0,0.01985343298339489,0.4692787260227564,0.017503707796551023,0.004856486462907495
